Rank,Company Name,Webpage,Description,Location,Year end,Annual sales rise over 3 years,Sales,Staff,Comments
1,RevolutDigital banking services provider,https://www.fasttrack.co.uk/company_profile/revolut-3/,Launched in America on the same day that the UK locked down,East London,Dec 19,309.89%,"162,722","1,289",Launched in America on the same day that the UK locked down
2,Football IndexFootball trading platform,https://www.fasttrack.co.uk/company_profile/football-index/,Paid out double cash dividends to its traders during lockdown,Central London,Dec 19,306.02%,"*45,120",64,Paid out double cash dividends to its traders during lockdown
3,TessianEmail security provider,https://www.fasttrack.co.uk/company_profile/tessian-2/,Its platform has helped prevent and block opportunistic “phishing” attacks seeking to exploit Covid-19,Central London,Mar 20,237.59%,"8,982",138,Its platform has helped prevent and block opportunistic “phishing” attacks seeking to exploit Covid-19
4,PollenExperience marketplace,https://www.fasttrack.co.uk/company_profile/pollen/,"With restrictions on travel and events, it has boosted sales by selling experiences for 2021",Central London,Dec 19,232.62%,"*44,790",400,"With restrictions on travel and events, it has boosted sales by selling experiences for 2021"
5,VoCoVoRetail communication provider,https://www.fasttrack.co.uk/company_profile/vocovo/,Is offering discounts to the NHS on its PPE-compatible headsets to help teams communicate,Oxfordshire,Dec 19,221.32%,"*13,034",40,Is offering discounts to the NHS on its PPE-compatible headsets to help teams communicate
6,Bark.comProfessional services marketplace,https://www.fasttrack.co.uk/company_profile/bark-com/,Its online platform is offering new services such as Covid-19 deep cleaning and remote workout sessions,Central London,Dec 19,182.78%,"*17,850",43,Its online platform is offering new services such as Covid-19 deep cleaning and remote workout sessions
7,ElvieFemale health technology developer,https://www.fasttrack.co.uk/company_profile/elvie-2/,Offered discounts to key workers and kept women informed with health advice on Instagram,Central London,Dec 19,182.65%,"*19,839",81,Offered discounts to key workers and kept women informed with health advice on Instagram
8,WhalarMarketing technology,https://www.fasttrack.co.uk/company_profile/whalar/,"Says its 5,000 influencers have helped spread social distancing guidance on social media",Central London,Dec 19,181.41%,"*5,494",80,"Says its 5,000 influencers have helped spread social distancing guidance on social media"
9,ElderElderly care platform,https://www.fasttrack.co.uk/company_profile/elder/,"Has grown by 22% during the pandemic, and says its Covid-19 mortality rate is 83% lower than care homes",Central London,Mar 20,178.24%,"*5,000",87,"Has grown by 22% during the pandemic, and says its Covid-19 mortality rate is 83% lower than care homes"
10,LendableConsumer lending platform,https://www.fasttrack.co.uk/company_profile/lendable-2/,"Recently launched its first credit card, with car finance soon to follow",Central London,Dec 19,165.52%,"*32,197",54,"Recently launched its first credit card, with car finance soon to follow"
11,QmeeConsumer insight platform,https://www.fasttrack.co.uk/company_profile/qmee/,Its technology helped firms gauge public appetite for a return to travel after the pandemic,Reading,Dec 19,161.74%,"6,997",15,Its technology helped firms gauge public appetite for a return to travel after the pandemic
12,PaddleE-commerce software developer,https://www.fasttrack.co.uk/company_profile/paddle/,Its staff were given a budget to create their own home offices when it transitioned to remote working,Central London,Dec 19,159.62%,"†7,744",119,Its staff were given a budget to create their own home offices when it transitioned to remote working
13,Babylon HealthMobile healthcare app,https://www.fasttrack.co.uk/company_profile/babylon-health/,Launched a Covid-19 feature on its app to disseminate government advice and allow users to check symptoms,Central London,Dec 19,154.35%,"*14,810","1,800",Launched a Covid-19 feature on its app to disseminate government advice and allow users to check symptoms
14,QuantexaData analytics provider,https://www.fasttrack.co.uk/company_profile/quantexa-2/,Adapted its software to detect new types of fraud and money laundering that emerged during the pandemic,Central London,Mar 20,140.84%,"*17,500",209,Adapted its software to detect new types of fraud and money laundering that emerged during the pandemic
15,BboxxSolar technology developer,https://www.fasttrack.co.uk/company_profile/bboxx-4/,Introduced a “crisis energy” scheme for customers falling behind on payments due to the pandemic,West London,Dec 19,139.69%,"*17,937",601,Introduced a “crisis energy” scheme for customers falling behind on payments due to the pandemic
16,OakNorth BankBusiness finance provider,https://www.fasttrack.co.uk/company_profile/oaknorth-bank/,"Since UK lockdown began, it has approved an average of £100m in new loans every month",Central London,Dec 19,138.75%,"104,341",96,"Since UK lockdown began, it has approved an average of £100m in new loans every month"
17,Mindful ChefMeal kit delivery services,https://www.fasttrack.co.uk/company_profile/mindful-chef/,Launched the “Care Box” during lockdown — the UK’s first next-day delivery recipe box,South London,Dec 19,136.93%,"*14,609",40,Launched the “Care Box” during lockdown — the UK’s first next-day delivery recipe box
18,ComplyAdvantageAnti-money laundering software,https://www.fasttrack.co.uk/company_profile/complyadvantage-3/,Its platform is helping customers combat a rise in online criminal activity during the pandemic,Central London,Mar 20,126.66%,"*10,551",269,Its platform is helping customers combat a rise in online criminal activity during the pandemic
19,OXGENEBiotechnology,https://www.fasttrack.co.uk/company_profile/oxgene/,Collaborating with the Native Antigen Company to scale up production of Covid-19 antigens,Oxford,Apr 20,126.48%,"*6,002",85,Collaborating with the Native Antigen Company to scale up production of Covid-19 antigens
20,Oxford Nanopore TechnologiesDNA analysis technology,https://www.fasttrack.co.uk/company_profile/oxford-nanopore-technologies-3/,"Has developed a low-cost and scalable test for Covid-19, which gives results in one hour",Oxford,Dec 19,125.74%,"*52,100",466,"Has developed a low-cost and scalable test for Covid-19, which gives results in one hour"
21,MatillionData transformation software,https://www.fasttrack.co.uk/company_profile/matillion-2/,The state of Connecticut used its data tools to inform public health decisions during Covid-19,Altrincham,Dec 19,120.21%,"*13,787",200,The state of Connecticut used its data tools to inform public health decisions during Covid-19
22,MoteefeCustom merchandise platform,https://www.fasttrack.co.uk/company_profile/moteefe/,Claims that new merchandise designs can be created in less than 60 seconds,Central London,Dec 19,117.81%,"*15,500",70,Claims that new merchandise designs can be created in less than 60 seconds
23,Signal AIMedia intelligence platform,https://www.fasttrack.co.uk/company_profile/signal-ai/,Added a free Covid-19 feature to its platform to detect relevant and trustworthy information on the virus,Central London,Mar 20,115.11%,"*7,781",149,Added a free Covid-19 feature to its platform to detect relevant and trustworthy information on the virus
24,Rebound ReturnsE-commerce returns technology,https://www.fasttrack.co.uk/company_profile/rebound-returns-2/,Online businesses used its technology to make returns easier during lockdown,Telford,Dec 19,113.44%,"*27,300",44,Online businesses used its technology to make returns easier during lockdown
25,TelcoSwitchTelephony platform,https://www.fasttrack.co.uk/company_profile/telcoswitch/,Its mobile and desktop apps helped staff at SMEs communicate while working remotely,North London,Dec 19,109.77%,"*5,008",28,Its mobile and desktop apps helped staff at SMEs communicate while working remotely
26,SPOKEOnline menswear supplier,https://www.fasttrack.co.uk/company_profile/spoke-2/,Raised £8.5m from BGF in October last year to support its expansion into America,West London,Oct 19,109.22%,"*8,300",36,Raised £8.5m from BGF in October last year to support its expansion into America
27,TripteaseDirect hotel booking platform,https://www.fasttrack.co.uk/company_profile/triptease/,Published guides and videos on how to safely reopen hotels after lockdown,Central London,Dec 19,107.08%,"*9,846",100,Published guides and videos on how to safely reopen hotels after lockdown
28,PapierPersonalised stationery retailer,https://www.fasttrack.co.uk/company_profile/papier/,Offered half-price reprints of wedding invitations if event details had to change,Central London,Apr 20,105.41%,"*10,400",65,Offered half-price reprints of wedding invitations if event details had to change
29,CenttripTreasury management platform,https://www.fasttrack.co.uk/company_profile/centtrip/,Helped music industry associations overcome challenges posed by travel and mass event restrictions,Central London,Sep 19,100.62%,"5,024",46,Helped music industry associations overcome challenges posed by travel and mass event restrictions
30,Bought By ManySpecialist insurance platform,https://www.fasttrack.co.uk/company_profile/bought-by-many-4/,Offered its customers video calls with vets during the pandemic to help their pets receive treatment,Central London,Mar 20,96.44%,"17,216",154,Offered its customers video calls with vets during the pandemic to help their pets receive treatment
31,ExscientiaAI-driven drug discovery,https://www.fasttrack.co.uk/company_profile/exscientia/,Says it is the first company to use AI to design a drug that has entered human clinical trials,Oxford,Dec 19,96.36%,"9,107",43,Says it is the first company to use AI to design a drug that has entered human clinical trials
32,OnfidoIdentity verification software,https://www.fasttrack.co.uk/company_profile/onfido-3/,Is providing its platform for free to non-profit and charitable organisations during the pandemic,Central London,Dec 19,96.35%,"*27,561",340,Is providing its platform for free to non-profit and charitable organisations during the pandemic
33,FacultyAI software provider,https://www.fasttrack.co.uk/company_profile/faculty-2/,Helped NHSX with its data response to the Covid-19 pandemic,Central London,Mar 20,95.00%,"*9,054",118,Helped NHSX with its data response to the Covid-19 pandemic
34,TrouvaOnline boutique marketplace,https://www.fasttrack.co.uk/company_profile/trouva/,Enabled 70% of its boutique partners across Europe to continue trading during lockdown,Central London,Jul 20,94.34%,"7,315",76,Enabled 70% of its boutique partners across Europe to continue trading during lockdown
35,Bluewater BioWater treatment provider,https://www.fasttrack.co.uk/company_profile/bluewater-bio/,"Commissioned six project upgrades during lockdown, resulting in cleaner water in the Midlands and northwest",Central London,Sep 19,93.67%,"9,544",19,"Commissioned six project upgrades during lockdown, resulting in cleaner water in the Midlands and northwest"
36,FeaturespaceAnalytics software developer,https://www.fasttrack.co.uk/company_profile/featurespace-4/,Its technology has helped protect vulnerable people from online fraud during the pandemic,Cambridge,Dec 19,93.42%,"*17,746",242,Its technology has helped protect vulnerable people from online fraud during the pandemic
37,FruugoOnline shopping platform,https://www.fasttrack.co.uk/company_profile/fruugo-2/,Its sales increased around 200% in the first few months of the pandemic,Cumbria,Dec 19,91.34%,"*10,265",44,Its sales increased around 200% in the first few months of the pandemic
38,OTA InsightHospitality technology provider,https://www.fasttrack.co.uk/company_profile/ota-insight-3/,Its technology supported hotel groups to reopen after lockdown,Central London,Dec 19,88.89%,"*17,156",200,Its technology supported hotel groups to reopen after lockdown
